Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
89,Ant,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282
90,Ant,0.952,0.6,0.961644,0.3,0.988732,0.936,0.3,0.953425,0.15,0.980282,0.946667,0.5,0.958904,0.25,0.985915
91,Ant,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
92,Ant,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282
93,Ant,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
94,Ant,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282
95,Ant,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648
96,Ant,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
97,Ant,0.941333,0.4,0.956164,0.2,0.983099,0.92,0,0.945205,0,0.971831,0.941333,0.4,0.956164,0.2,0.983099
98,Ant,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
99,Ant,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.946667,0.5,0.958904,0.25,0.985915
100,Ant,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
101,Chair,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
102,Chair,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
103,Chair,0.952,0.6,0.961644,0.3,0.988732,0.92,0,0.945205,0,0.971831,0.952,0.6,0.961644,0.3,0.988732
104,Chair,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
105,Chair,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
106,Chair,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.968,0.9,0.969863,0.45,0.997183
107,Chair,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
108,Chair,0.968,0.9,0.969863,0.45,0.997183,0.936,0.3,0.953425,0.15,0.980282,0.962667,0.8,0.967123,0.4,0.994366
109,Chair,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
